# Disks,Config #,x,y
6,22,0.177188354,-0.362962467
6,22,-0.090760839,-0.362962467
6,22,-0.456786242,0.27101213
6,22,0.409239161,-0.22898787
6,22,-0.322811646,-0.22898787
6,22,-0.456786242,0.003062937
6,23,-0.288877414,-0.135293484
6,23,0.342613503,-0.135293484
6,23,0.026868044,0.280103108
6,23,-0.104623804,0.052352545
6,23,0.158359893,0.052352545
6,23,0.026868044,0.543086805
6,24,0.025535095,-0.131881937
6,24,0.116712373,-0.376973555
6,24,0.450045837,0.200376941
6,24,0.192201631,0.156792971
6,24,-0.06564266,0.113209503
6,24,-0.292109872,0.243960408
6,25,-0.207108103,-0.376521825
6,25,0.072020685,0.361983518
6,25,0.182456283,-0.44028184
6,25,-0.06754372,-0.00726914
6,25,0.013763105,-0.249001757
6,25,-0.14885054,0.23446348
6,26,0.313473112,0.203725758
6,26,0.358773237,-0.110156648
6,26,0.034392062,0.452227656
6,26,-0.34060794,-0.197291396
6,26,-0.090607939,0.235721305
6,26,-0.215607938,0.019214954
6,27,-0.398092596,-0.311957954
6,27,0.203404024,-0.153616723
6,27,0.103404024,-0.326821804
6,27,0.303404024,0.019588358
6,27,0.003404024,-0.500026884
6,27,0.403404024,0.192793439
6,28,0.347494561,-0.224722069
6,28,0.430827895,-0.080384502
6,28,0.264161228,-0.369059637
6,28,-0.402505439,0.208290633
6,28,-0.485838772,0.063953065
6,28,-0.319172105,0.3526282
7,1,0.093937991,-0.026322708
7,1,-0.191776294,-0.273758538
7,1,0.451080848,-0.150040623
7,1,-0.263204866,0.097395207
7,1,0.379652277,0.221113122
7,1,0.02250942,0.344831036
7,1,0.165366563,-0.397476453
7,2,-0.030669071,0.238787642
7,2,-0.347656369,-0.310250463
7,2,0.335356333,0.238787643
7,2,-0.030669071,-0.127237761
7,2,0.152343631,-0.444225059
7,2,0.335356333,-0.127237761
7,2,-0.347656369,0.055774941
7,3,-0.20991792,0.436987984
7,3,-0.419098507,-0.261132752
7,3,-0.000737335,-0.261132753
7,3,-0.20991792,0.101178651
7,3,0.290082079,0.342192459
7,3,0.457986747,0.051373046
7,3,0.122177413,0.051373044
7,4,-0.365697161,-0.16678842
7,4,0.003563288,0.391259803
7,4,0.134302839,-0.474765601
7,4,0.003563288,-0.16678842
7,4,0.318933063,-0.05505356
7,4,0.318933063,0.279524943
7,4,-0.181066937,0.112235692
7,5,0.011870552,-0.463794741
7,5,-0.424521117,0.020736373
7,5,0.408812313,-0.267938818
7,5,-0.257854354,-0.267938706
7,5,0.24214555,0.020736261
7,5,-0.091187784,0.020736484
7,5,0.075479076,0.309411507
7,6,-0.167554127,0.404530596
7,6,0.165779207,0.404530596
7,6,0.165779207,-0.172819673
7,6,-0.334220793,0.115855462
7,6,0.332445873,0.115855462
7,6,-0.167554127,-0.172819673
7,6,-0.00088746,0.115855462
7,7,0.260500075,-0.367310268
7,7,-0.239499925,-0.078635133
7,7,0.260500075,0.210040002
7,7,-0.072833258,-0.367310268
7,7,0.093833409,0.498715136
7,7,0.093833409,-0.078635133
7,7,0.427166742,-0.078635133
7,8,0.100160305,0.395482345
7,8,0.170072906,-0.222231983
7,8,0.373077831,0.129382862
7,8,-0.19683477,-0.118928214
7,8,0.056531669,0.077730977
7,8,0.486619068,-0.170580098
7,8,-0.083293533,-0.418891174
7,9,-0.045286867,0.550484348
7,9,0.287895832,0.072336716
7,9,-0.395588273,0.104523049
7,9,0.05985076,-0.14950493
7,9,-0.150424737,-0.481576657
7,9,0.166091157,-0.449390324
7,9,-0.256665135,-0.181691264
7,10,0.275153135,-0.369587136
7,10,-0.424009262,-0.195898465
7,10,-0.022335181,-0.045032327
7,10,0.443662185,0.224011378
7,10,-0.243257864,0.1809472
7,10,-0.141580483,-0.337699606
7,10,0.293562633,-0.054095981
7,11,-0.002586707,-0.200341287
7,11,0.497413293,-0.200341293
7,11,0.24741329,0.232671406
7,11,-0.063868114,0.232671412
7,11,-0.441305305,0.232671412
7,11,0.24741329,-0.38580318
7,11,-0.25258671,-0.0148794
7,12,0.027985197,-0.339129269
7,12,-0.316438782,0.257430568
7,12,-0.127590818,-0.0696637
7,12,0.432276633,0.07393221
7,12,-0.031882251,0.383300223
7,12,-0.412147349,-0.195533358
7,12,0.123693768,0.113834656
7,13,-0.101147004,0.223261449
7,13,-0.138544363,-0.332497444
7,13,0.475021061,0.109696024
7,13,0.285287572,-0.21893202
7,13,0.167551676,0.068128194
7,13,-0.407243043,-0.177364189
7,13,0.130154317,-0.4876307
7,14,0.168724981,-0.220506411
7,14,-0.08128445,0.050430787
7,14,0.41871555,0.050430788
7,14,0.018666626,0.333394566
7,14,-0.181235527,-0.232532991
7,14,0.318764473,0.333394566
7,14,-0.481333373,-0.232532991
7,15,0.03889328,-0.028431607
7,15,-0.245068539,-0.248493235
7,15,0.322753125,0.328857047
7,15,0.322753125,-0.248493235
7,15,-0.245068539,0.328857047
7,15,-0.312890124,0.040181906
7,15,0.39057471,0.040181906
7,16,-0.27486451,0.207900293
7,16,0.414792611,0.037131835
7,16,0.070559287,0.124776896
7,16,-0.179440713,-0.308235806
7,16,0.320559287,-0.308235806
7,16,0.070559287,0.41345203
7,16,0.070559287,-0.163898239
7,17,-0.156474374,-0.147739743
7,17,0.093525626,-0.003402175
7,17,0.093525626,0.285272959
7,17,0.093525626,-0.29207731
7,17,-0.406474374,-0.003402175
7,17,-0.406474374,-0.29207731
7,17,-0.406474374,0.285272959
7,18,0.03128859,-0.161373962
7,18,-0.334735877,0.204651982
7,18,-0.46871141,-0.295347477
7,18,0.299237782,-0.161372881
